CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
991168,2,W,W,1.0,1.0,1.0,5774,15581.978937298829,,9807.978937298829
991175,2,H,W,0.0,0.0,0.0,19503,16896.538787618207,,2606.4612123817933
990891,2,K,W,0.0,0.0,0.0,6798,11108.716469474231,,4310.716469474231
990948,2,W,W,1.0,1.0,1.0,9072,16581.26440105515,,7509.2644010551485
991049,2,H,W,0.0,0.0,0.0,1305,10324.379955422224,,9019.379955422224
991353,2,W,W,1.0,1.0,1.0,6367,11143.220509687779,,4776.220509687779
991778,2,W,W,1.0,1.0,1.0,1456,15854.30283763877,,14398.30283763877
991447,2,K,W,0.0,0.0,0.0,440,11909.011063591948,,11469.011063591948
990885,2,W,W,1.0,1.0,1.0,233715,15244.380039056461,,218470.61996094353
991673,2,W,W,1.0,1.0,1.0,72389,12478.707663053678,,59910.292336946324
990851,2,W,W,1.0,1.0,1.0,16898,19301.61804917538,,2403.6180491753803
990735,2,H,K,0.0,0.0,0.0,131,10726.946357775247,,10595.946357775247
990718,2,W,W,1.0,1.0,1.0,261920,15031.807037622906,,246888.1929623771
990455,2,W,W,1.0,1.0,1.0,71713,12691.489513654076,,59021.51048634593
990265,2,S,K,0.0,0.0,0.0,81874,12636.703213761708,,69237.2967862383
990076,2,W,W,1.0,1.0,1.0,1643,13935.53078772713,,12292.53078772713
991658,2,W,W,1.0,1.0,1.0,70618,20071.500813691848,,50546.49918630815
990445,2,K,K,1.0,1.0,1.0,2929,11101.048391208244,,8172.048391208244
990396,2,W,W,1.0,1.0,1.0,255457,14943.663441281795,,240513.3365587182
990177,2,W,W,1.0,1.0,1.0,9578,16575.445909506587,,6997.445909506587
991043,2,W,W,1.0,1.0,1.0,253013,15974.948296571816,,237038.05170342818
991736,2,W,W,1.0,1.0,1.0,4281,15126.236146158732,,10845.236146158732
991402,2,W,W,1.0,1.0,1.0,5433,13508.485875830132,,8075.4858758301325
991381,2,K,W,0.0,0.0,0.0,13606,13745.589021103524,,139.58902110352392
990596,2,W,W,1.0,1.0,1.0,51516,35881.95149158276,,15634.04850841724
990062,2,K,W,0.0,0.0,0.0,8108,10438.828528190768,,2330.8285281907683
991297,2,H,W,0.0,0.0,0.0,3421,16524.68091940235,,13103.680919402352
990873,2,X,W,0.0,0.0,0.0,104053,14964.778014983456,,89088.22198501654
991490,2,W,W,1.0,1.0,1.0,7619,16133.255965038412,,8514.255965038412
991879,2,W,W,1.0,1.0,1.0,4357,15078.996160073453,,10721.996160073453
990279,2,H,W,0.0,0.0,0.0,3501,10890.495292602343,,7389.495292602343
990037,2,H,W,0.0,0.0,0.0,497272,19193.54361463176,,478078.45638536825
991976,2,H,W,0.0,0.0,0.0,56801,15151.100756929969,,41649.89924307003
990663,2,H,W,0.0,0.0,0.0,9591,17568.411951978374,,7977.411951978374
991954,2,W,W,1.0,1.0,1.0,84864,27148.717813542386,,57715.28218645761
991445,2,W,W,1.0,1.0,1.0,62705,11175.110467340699,,51529.889532659305
990978,2,W,W,1.0,1.0,1.0,23247,15403.886856244853,,7843.113143755147
991572,2,K,W,0.0,0.0,0.0,4427,13214.108736529437,,8787.108736529437
990739,2,K,W,0.0,0.0,0.0,2488,12765.873726139816,,10277.873726139816
990192,2,X,W,0.0,0.0,0.0,6785,14344.731811767779,,7559.731811767779
990920,2,W,W,1.0,1.0,1.0,1184,10845.49715975081,,9661.49715975081
990457,2,K,W,0.0,0.0,0.0,106,12085.817681877314,,11979.817681877314
990676,2,W,W,1.0,1.0,1.0,4282,11366.618217385058,,7084.6182173850575
990761,2,W,W,1.0,1.0,1.0,248249,14355.64745604511,,233893.35254395488
991808,2,W,W,1.0,1.0,1.0,8315,16537.977906578366,,8222.977906578366
991603,2,H,W,0.0,0.0,0.0,945,15973.491747031845,,15028.491747031845
990729,2,W,W,1.0,1.0,1.0,25636,19808.716156847022,,5827.283843152978
990413,2,X,W,0.0,0.0,0.0,23137,15713.53079257562,,7423.469207424379
991099,2,W,W,1.0,1.0,1.0,11540,12393.860184375244,,853.860184375244
990826,2,K,W,0.0,0.0,0.0,3995,12165.117171064609,,8170.117171064609
991640,2,W,W,1.0,1.0,1.0,416592,16138.485671481929,,400453.51432851807
990617,2,W,W,1.0,1.0,1.0,2183,15956.782272362183,,13773.782272362183
990115,2,P,W,0.0,0.0,0.0,10296,11884.995721388459,,1588.995721388459
990418,2,K,W,0.0,0.0,0.0,4868,10913.841700943029,,6045.841700943029
991911,2,W,W,1.0,1.0,1.0,1621,9917.741379646339,,8296.741379646339
990970,2,H,W,0.0,0.0,0.0,9491,16429.770918319995,,6938.770918319995
990605,2,H,W,0.0,0.0,0.0,4997,7483.233652092685,,2486.2336520926847
991919,2,H,W,0.0,0.0,0.0,55110,14480.605534674285,,40629.39446532571
990090,2,W,W,1.0,1.0,1.0,81834,11383.195138339972,,70450.80486166003
990849,2,W,W,1.0,1.0,1.0,1383,19488.23672499668,,18105.23672499668
991520,2,W,W,1.0,1.0,1.0,5084,11043.139372407959,,5959.139372407959
991918,2,K,W,0.0,0.0,0.0,1120,13153.56713930135,,12033.56713930135
990754,2,H,W,0.0,0.0,0.0,61514,28624.512303308682,,32889.487696691314
