CaseID,ActivityID,timestamp
880001,11,2019-05-20 09:07:47
880001,1,2019-05-20 11:13:54
880001,16,2019-05-23 10:40:50
880001,14,2019-05-23 11:27:55
880001,13,2019-05-27 17:54:52
880001,15,2019-06-04 15:20:53
880001,7,2019-06-06 16:20:03
880001,9,2019-06-07 10:00:10
880001,25,2019-06-07 14:04:28
880002,11,2019-05-20 09:07:47
880002,1,2019-05-20 11:13:54
880002,15,2019-05-20 11:20:13
880002,14,2019-05-23 11:27:55
880002,7,2019-05-23 17:26:26
880002,9,2019-05-23 17:43:12
880002,25,2019-05-24 15:54:44
880003,11,2019-05-20 09:07:47
880003,1,2019-05-20 11:13:54
880003,15,2019-05-23 11:00:25
880003,14,2019-05-23 11:27:55
880003,7,2019-05-23 17:26:26
880003,9,2019-05-23 17:43:12
880003,25,2019-05-24 15:54:44
880004,11,2019-05-20 09:07:47
880004,1,2019-05-20 11:13:54
880004,16,2019-05-20 13:54:37
880004,13,2019-05-21 10:03:49
880004,14,2019-05-23 11:27:55
880004,15,2019-06-20 14:58:13
880004,7,2019-06-25 11:30:01
880004,9,2019-06-25 11:55:45
880004,25,2019-06-26 09:18:52
880005,11,2019-05-20 10:35:21
880005,1,2019-05-21 12:19:16
880005,15,2019-05-21 12:35:03
880005,14,2019-05-22 14:47:40
880005,7,2019-05-23 11:00:25
880005,9,2019-05-23 14:22:59
880005,18,2019-05-23 14:48:41
880005,25,2019-05-23 19:14:00
880006,11,2019-05-20 10:35:21
880006,15,2019-05-20 10:38:17
880006,1,2019-05-21 12:19:16
880006,14,2019-05-22 14:47:40
880006,7,2019-05-23 11:00:25
880006,9,2019-05-23 14:22:59
880006,18,2019-05-23 14:48:41
880006,25,2019-05-23 19:14:00
880007,11,2019-05-20 10:35:21
880007,15,2019-05-20 18:15:00
880007,1,2019-05-21 12:19:16
880007,14,2019-05-22 14:47:40
880007,7,2019-05-23 11:00:25
880007,9,2019-05-23 14:22:59
880007,18,2019-05-23 14:48:41
880007,25,2019-05-23 19:14:00
880008,11,2019-05-20 10:35:21
880008,15,2019-05-20 17:08:25
880008,1,2019-05-21 12:19:16
880008,14,2019-05-22 14:47:40
880008,7,2019-05-23 11:00:25
880008,9,2019-05-23 14:22:59
880008,18,2019-05-23 14:48:41
880008,25,2019-05-23 19:14:00
880009,11,2019-05-20 12:30:30
880009,1,2019-05-20 12:34:16
880009,16,2019-05-20 15:19:49
880009,14,2019-05-21 10:41:07
880009,13,2019-05-22 16:52:23
880009,15,2019-05-24 17:26:40
880009,7,2019-05-29 16:14:37
880009,9,2019-05-30 10:19:45
880009,25,2019-05-31 11:00:07
880010,11,2019-05-20 12:30:30
880010,1,2019-05-20 12:34:16
880010,15,2019-05-21 09:43:01
880010,14,2019-05-21 10:41:07
880010,7,2019-05-24 15:49:44
880010,9,2019-05-27 09:50:01
880010,25,2019-05-27 12:39:25
880011,11,2019-05-20 12:30:30
880011,1,2019-05-20 12:34:16
880011,15,2019-05-20 17:51:15
880011,14,2019-05-21 10:41:07
880011,7,2019-05-24 15:49:44
880011,9,2019-05-27 09:50:01
880011,25,2019-05-27 12:39:25
880012,11,2019-05-20 12:30:30
880012,1,2019-05-20 12:34:16
880012,14,2019-05-21 10:41:07
880012,15,2019-05-21 14:58:29
880012,7,2019-05-24 15:49:44
880012,9,2019-05-27 09:50:01
880012,25,2019-05-27 12:39:25
880013,11,2019-05-20 14:20:47
880013,1,2019-05-20 18:36:37
880013,15,2019-05-21 12:39:01
880013,7,2019-05-24 10:49:32
880013,9,2019-05-27 10:40:13
880013,18,2019-05-27 14:56:21
880013,25,2019-05-28 12:42:06
880013,8,2019-06-09 18:36:37
880013,14,2019-06-13 10:57:55
880014,11,2019-05-20 14:20:47
880014,15,2019-05-20 16:56:02
880014,1,2019-05-20 18:36:37
880014,7,2019-05-24 10:49:32
880014,9,2019-05-27 10:40:13
880014,18,2019-05-27 14:56:21
880014,25,2019-05-28 12:42:06
880014,8,2019-06-09 18:36:37
880014,14,2019-06-13 10:57:55
880015,11,2019-05-20 16:01:22
880015,1,2019-05-21 10:34:23
880015,15,2019-05-22 11:18:26
880015,7,2019-05-28 09:49:33
880015,9,2019-05-28 16:20:29
880015,25,2019-05-29 12:01:39
880015,8,2019-06-10 10:34:23
880015,8,2019-06-30 10:34:23
880015,14,2019-07-03 17:07:23
880016,11,2019-05-20 16:01:22
880016,1,2019-05-21 10:34:23
880016,15,2019-05-22 15:24:59
880016,7,2019-05-28 09:49:33
880016,9,2019-05-28 16:20:29
880016,25,2019-05-29 12:01:39
880016,8,2019-06-10 10:34:23
880016,8,2019-06-30 10:34:23
880016,14,2019-07-03 17:07:23
880017,11,2019-05-20 17:22:31
880017,15,2019-05-21 12:15:15
880017,1,2019-05-21 14:55:05
880017,7,2019-05-25 01:00:00
880017,9,2019-05-27 20:29:32
880017,25,2019-05-29 09:50:36
880017,14,2019-05-31 21:05:52
880018,11,2019-05-20 17:22:31
880018,1,2019-05-21 14:55:05
880018,15,2019-05-22 10:17:48
880018,7,2019-05-25 01:00:00
880018,9,2019-05-27 20:29:32
880018,25,2019-05-29 09:50:36
880018,14,2019-05-31 21:05:52
880019,11,2019-05-20 17:22:31
880019,15,2019-05-21 08:55:41
880019,1,2019-05-21 14:55:05
880019,7,2019-05-25 01:00:00
880019,9,2019-05-27 20:29:32
880019,25,2019-05-29 09:50:36
880019,14,2019-05-31 21:05:52
880020,11,2019-05-20 19:04:49
880020,1,2019-05-21 14:33:48
880020,15,2019-05-21 17:02:33
880020,7,2019-05-24 10:49:32
880020,9,2019-05-27 10:40:13
880020,18,2019-05-27 14:56:21
880020,25,2019-05-28 12:42:06
880020,8,2019-06-10 14:33:48
880020,14,2019-06-14 09:57:38
880021,11,2019-05-20 19:04:49
880021,1,2019-05-21 14:33:48
880021,15,2019-05-27 09:53:59
880021,7,2019-05-29 15:38:06
880021,9,2019-05-30 10:10:22
880021,25,2019-05-30 12:02:46
880021,8,2019-06-10 14:33:48
880021,14,2019-06-14 09:57:38
880022,11,2019-05-20 19:04:49
880022,15,2019-05-21 10:49:44
880022,1,2019-05-21 14:33:48
880022,7,2019-05-24 10:49:32
880022,9,2019-05-27 10:40:13
880022,18,2019-05-27 14:56:21
880022,25,2019-05-28 12:42:06
880022,8,2019-06-10 14:33:48
880022,14,2019-06-14 09:57:38
880023,11,2019-05-20 21:49:13
880023,1,2019-05-22 10:34:00
880023,14,2019-05-22 13:31:24
880023,15,2019-05-22 17:13:56
880023,7,2019-05-24 15:49:44
880023,9,2019-05-27 09:50:01
880023,25,2019-05-27 12:39:25
880024,11,2019-05-20 21:49:13
880024,15,2019-05-21 13:42:40
880024,1,2019-05-22 10:34:00
880024,14,2019-05-22 13:31:24
880024,7,2019-05-24 15:49:44
880024,9,2019-05-27 09:50:01
880024,25,2019-05-27 12:39:25
880025,11,2019-05-20 21:49:13
880025,15,2019-05-21 14:56:24
880025,1,2019-05-22 10:34:00
880025,14,2019-05-22 13:31:24
880025,7,2019-05-24 15:49:44
880025,9,2019-05-27 09:50:01
880025,25,2019-05-27 12:39:25
880026,11,2019-05-20 21:49:13
880026,15,2019-05-21 15:02:54
880026,1,2019-05-22 10:34:00
880026,14,2019-05-22 13:31:24
880026,7,2019-05-24 15:49:44
880026,9,2019-05-27 09:50:01
880026,25,2019-05-27 12:39:25
880027,11,2019-05-20 21:49:13
880027,16,2019-05-21 15:51:03
880027,13,2019-05-21 16:51:49
880027,1,2019-05-22 10:34:00
880027,14,2019-05-22 13:31:24
880027,15,2019-05-27 10:33:28
880027,7,2019-05-29 16:14:37
880027,9,2019-05-30 10:19:45
880027,25,2019-05-31 11:00:07
880028,11,2019-05-20 21:49:13
880028,15,2019-05-21 15:26:17
880028,1,2019-05-22 10:34:00
880028,14,2019-05-22 13:31:24
880028,7,2019-05-24 15:49:44
880028,9,2019-05-27 09:50:01
880028,25,2019-05-27 12:39:25
880029,11,2019-05-21 07:13:12
880029,16,2019-05-21 09:14:32
880029,1,2019-05-21 13:40:12
880029,13,2019-05-23 18:54:48
880029,15,2019-05-30 19:28:01
880029,7,2019-05-31 19:05:24
880029,9,2019-06-03 14:07:59
880029,25,2019-06-04 10:32:16
880029,14,2019-06-05 12:51:54
880030,11,2019-05-21 07:13:12
880030,15,2019-05-21 08:23:42
880030,1,2019-05-21 13:40:12
880030,7,2019-05-23 11:00:25
880030,9,2019-05-23 14:22:59
880030,18,2019-05-23 14:48:41
880030,25,2019-05-23 19:14:00
880030,14,2019-06-05 12:51:54
880031,11,2019-05-21 07:13:12
880031,1,2019-05-21 13:40:12
880031,15,2019-05-21 14:14:14
880031,7,2019-05-23 11:00:25
880031,9,2019-05-23 14:22:59
880031,18,2019-05-23 14:48:41
880031,25,2019-05-23 19:14:00
880031,14,2019-06-05 12:51:54
880032,11,2019-05-21 07:13:12
880032,1,2019-05-21 13:40:12
880032,15,2019-05-21 15:32:29
880032,7,2019-05-23 11:00:25
880032,9,2019-05-23 14:22:59
880032,18,2019-05-23 14:48:41
880032,25,2019-05-23 19:14:00
880032,14,2019-06-05 12:51:54
880033,11,2019-05-21 07:13:12
880033,1,2019-05-21 13:40:12
880033,15,2019-05-22 09:49:11
880033,7,2019-05-23 11:00:25
880033,9,2019-05-23 14:22:59
880033,18,2019-05-23 14:48:41
880033,25,2019-05-23 19:14:00
880033,14,2019-06-05 12:51:54
880034,11,2019-05-21 07:13:12
880034,1,2019-05-21 13:40:12
880034,15,2019-05-23 16:07:14
880034,7,2019-05-28 17:21:54
880034,9,2019-05-29 14:30:00
880034,25,2019-05-29 16:14:22
880034,14,2019-06-05 12:51:54
880035,11,2019-05-21 09:58:19
880035,16,2019-05-21 12:57:36
880035,1,2019-05-21 21:10:10
880035,13,2019-05-22 17:33:36
880035,15,2019-05-30 12:41:03
880035,7,2019-05-30 17:36:37
880035,9,2019-06-03 11:23:31
880035,25,2019-06-03 16:37:21
880035,8,2019-06-10 21:10:10
880035,14,2019-06-14 08:33:46
880036,11,2019-05-21 09:58:19
880036,15,2019-05-21 12:47:10
880036,1,2019-05-21 21:10:10
880036,7,2019-05-27 11:49:13
880036,9,2019-05-28 12:29:53
880036,25,2019-05-28 15:50:34
880036,8,2019-06-10 21:10:10
880036,14,2019-06-14 08:33:46
880037,11,2019-05-21 12:16:25
880037,1,2019-05-21 12:55:17
