CaseID,ActivityID,timestamp
880001,5,2019-05-20 09:07:47
880001,17,2019-05-20 11:13:54
880001,21,2019-05-23 10:40:50
880001,22,2019-05-23 11:27:55
880001,15,2019-05-27 17:54:52
880001,4,2019-06-04 15:20:53
880001,1,2019-06-06 16:20:03
880001,6,2019-06-07 10:00:10
880001,8,2019-06-07 14:04:28
880002,5,2019-05-20 09:07:47
880002,17,2019-05-20 11:13:54
880002,4,2019-05-20 11:20:13
880002,22,2019-05-23 11:27:55
880002,1,2019-05-23 17:26:26
880002,6,2019-05-23 17:43:12
880002,8,2019-05-24 15:54:44
880003,5,2019-05-20 09:07:47
880003,17,2019-05-20 11:13:54
880003,4,2019-05-23 11:00:25
880003,22,2019-05-23 11:27:55
880003,1,2019-05-23 17:26:26
880003,6,2019-05-23 17:43:12
880003,8,2019-05-24 15:54:44
880004,5,2019-05-20 09:07:47
880004,17,2019-05-20 11:13:54
880004,21,2019-05-20 13:54:37
880004,15,2019-05-21 10:03:49
880004,22,2019-05-23 11:27:55
880004,4,2019-06-20 14:58:13
880004,1,2019-06-25 11:30:01
880004,6,2019-06-25 11:55:45
880004,8,2019-06-26 09:18:52
880005,5,2019-05-20 10:35:21
880005,17,2019-05-21 12:19:16
880005,4,2019-05-21 12:35:03
880005,22,2019-05-22 14:47:40
880005,1,2019-05-23 11:00:25
880005,6,2019-05-23 14:22:59
880005,2,2019-05-23 14:48:41
880005,8,2019-05-23 19:14:00
880006,5,2019-05-20 10:35:21
880006,4,2019-05-20 10:38:17
880006,17,2019-05-21 12:19:16
880006,22,2019-05-22 14:47:40
880006,1,2019-05-23 11:00:25
880006,6,2019-05-23 14:22:59
880006,2,2019-05-23 14:48:41
880006,8,2019-05-23 19:14:00
880007,5,2019-05-20 10:35:21
880007,4,2019-05-20 18:15:00
880007,17,2019-05-21 12:19:16
880007,22,2019-05-22 14:47:40
880007,1,2019-05-23 11:00:25
880007,6,2019-05-23 14:22:59
880007,2,2019-05-23 14:48:41
880007,8,2019-05-23 19:14:00
880008,5,2019-05-20 10:35:21
880008,4,2019-05-20 17:08:25
880008,17,2019-05-21 12:19:16
880008,22,2019-05-22 14:47:40
880008,1,2019-05-23 11:00:25
880008,6,2019-05-23 14:22:59
880008,2,2019-05-23 14:48:41
880008,8,2019-05-23 19:14:00
880009,5,2019-05-20 12:30:30
880009,17,2019-05-20 12:34:16
880009,21,2019-05-20 15:19:49
880009,22,2019-05-21 10:41:07
880009,15,2019-05-22 16:52:23
880009,4,2019-05-24 17:26:40
880009,1,2019-05-29 16:14:37
880009,6,2019-05-30 10:19:45
880009,8,2019-05-31 11:00:07
880010,5,2019-05-20 12:30:30
880010,17,2019-05-20 12:34:16
880010,4,2019-05-21 09:43:01
880010,22,2019-05-21 10:41:07
880010,1,2019-05-24 15:49:44
880010,6,2019-05-27 09:50:01
880010,8,2019-05-27 12:39:25
880011,5,2019-05-20 12:30:30
880011,17,2019-05-20 12:34:16
880011,4,2019-05-20 17:51:15
880011,22,2019-05-21 10:41:07
880011,1,2019-05-24 15:49:44
880011,6,2019-05-27 09:50:01
880011,8,2019-05-27 12:39:25
880012,5,2019-05-20 12:30:30
880012,17,2019-05-20 12:34:16
880012,22,2019-05-21 10:41:07
880012,4,2019-05-21 14:58:29
880012,1,2019-05-24 15:49:44
880012,6,2019-05-27 09:50:01
880012,8,2019-05-27 12:39:25
880013,5,2019-05-20 14:20:47
880013,17,2019-05-20 18:36:37
880013,4,2019-05-21 12:39:01
880013,1,2019-05-24 10:49:32
880013,6,2019-05-27 10:40:13
880013,2,2019-05-27 14:56:21
880013,8,2019-05-28 12:42:06
880013,16,2019-06-09 18:36:37
880013,22,2019-06-13 10:57:55
880014,5,2019-05-20 14:20:47
880014,4,2019-05-20 16:56:02
880014,17,2019-05-20 18:36:37
880014,1,2019-05-24 10:49:32
880014,6,2019-05-27 10:40:13
880014,2,2019-05-27 14:56:21
880014,8,2019-05-28 12:42:06
880014,16,2019-06-09 18:36:37
880014,22,2019-06-13 10:57:55
880015,5,2019-05-20 16:01:22
880015,17,2019-05-21 10:34:23
880015,4,2019-05-22 11:18:26
