CaseID,ActivityID,timestamp
990001,21,2019-05-20 09:07:47
990001,9,2019-05-20 11:13:54
990001,25,2019-05-20 11:20:13
990001,10,2019-05-20 13:54:37
990001,11,2019-05-21 10:03:49
990001,10,2019-05-23 10:40:50
990001,25,2019-05-23 11:00:25
990001,16,2019-05-23 11:27:55
990001,6,2019-05-23 17:26:26
990001,23,2019-05-23 17:43:12
990001,7,2019-05-24 15:54:44
990001,11,2019-05-27 17:54:52
990001,25,2019-06-04 15:20:53
990001,6,2019-06-06 16:20:03
990001,23,2019-06-07 10:00:10
990001,7,2019-06-07 14:04:28
990001,25,2019-06-20 14:58:13
990001,6,2019-06-25 11:30:01
990001,23,2019-06-25 11:55:45
990001,7,2019-06-26 09:18:52
990002,21,2019-05-20 10:35:21
990002,25,2019-05-20 10:38:17
990002,25,2019-05-20 17:08:25
990002,25,2019-05-20 18:15:00
990002,9,2019-05-21 12:19:16
990002,25,2019-05-21 12:35:03
990002,16,2019-05-22 14:47:40
990002,6,2019-05-23 11:00:25
990002,23,2019-05-23 14:22:59
990002,24,2019-05-23 14:48:41
990002,7,2019-05-23 19:14:00
990003,21,2019-05-20 12:30:30
990003,9,2019-05-20 12:34:16
990003,10,2019-05-20 15:19:49
990003,25,2019-05-20 17:51:15
990003,25,2019-05-21 09:43:01
990003,16,2019-05-21 10:41:07
990003,25,2019-05-21 14:58:29
990003,11,2019-05-22 16:52:23
990003,6,2019-05-24 15:49:44
990003,25,2019-05-24 17:26:40
990003,23,2019-05-27 09:50:01
990003,7,2019-05-27 12:39:25
990003,6,2019-05-29 16:14:37
990003,23,2019-05-30 10:19:45
990003,7,2019-05-31 11:00:07
990004,21,2019-05-20 14:20:47
990004,25,2019-05-20 16:56:02
990004,9,2019-05-20 18:36:37
990004,25,2019-05-21 12:39:01
990004,6,2019-05-24 10:49:32
990004,23,2019-05-27 10:40:13
990004,24,2019-05-27 14:56:21
990004,7,2019-05-28 12:42:06
990004,12,2019-06-09 18:36:37
990004,16,2019-06-13 10:57:55
990005,21,2019-05-20 16:01:22
990005,9,2019-05-21 10:34:23
990005,25,2019-05-22 11:18:26
990005,25,2019-05-22 15:24:59
990005,6,2019-05-28 09:49:33
990005,23,2019-05-28 16:20:29
990005,7,2019-05-29 12:01:39
990005,12,2019-06-10 10:34:23
990005,12,2019-06-30 10:34:23
990005,16,2019-07-03 17:07:23
990006,21,2019-05-20 17:22:31
990006,25,2019-05-21 08:55:41
990006,25,2019-05-21 12:15:15
990006,9,2019-05-21 14:55:05
990006,25,2019-05-22 10:17:48
990006,6,2019-05-25 01:00:00
990006,23,2019-05-27 20:29:32
990006,7,2019-05-29 09:50:36
990006,16,2019-05-31 21:05:52
990007,21,2019-05-20 19:04:49
990007,25,2019-05-21 10:49:44
990007,9,2019-05-21 14:33:48
990007,25,2019-05-21 17:02:33
990007,6,2019-05-24 10:49:32
990007,25,2019-05-27 09:53:59
990007,23,2019-05-27 10:40:13
990007,24,2019-05-27 14:56:21
990007,7,2019-05-28 12:42:06
990007,6,2019-05-29 15:38:06
990007,23,2019-05-30 10:10:22
990007,7,2019-05-30 12:02:46
990007,12,2019-06-10 14:33:48
990007,16,2019-06-14 09:57:38
990008,21,2019-05-20 21:49:13
990008,25,2019-05-21 13:42:40
990008,25,2019-05-21 14:56:24
990008,25,2019-05-21 15:02:54
990008,25,2019-05-21 15:26:17
990008,10,2019-05-21 15:51:03
990008,11,2019-05-21 16:51:49
990008,9,2019-05-22 10:34:00
990008,16,2019-05-22 13:31:24
990008,25,2019-05-22 17:13:56
990008,6,2019-05-24 15:49:44
990008,23,2019-05-27 09:50:01
990008,25,2019-05-27 10:33:28
990008,7,2019-05-27 12:39:25
990008,6,2019-05-29 16:14:37
990008,23,2019-05-30 10:19:45
990008,7,2019-05-31 11:00:07
990009,21,2019-05-21 07:13:12
990009,25,2019-05-21 08:23:42
990009,10,2019-05-21 09:14:32
990009,9,2019-05-21 13:40:12
990009,25,2019-05-21 14:14:14
990009,25,2019-05-21 15:32:29
990009,25,2019-05-22 09:49:11
990009,6,2019-05-23 11:00:25
990009,23,2019-05-23 14:22:59
990009,24,2019-05-23 14:48:41
990009,25,2019-05-23 16:07:14
990009,11,2019-05-23 18:54:48
990009,7,2019-05-23 19:14:00
990009,6,2019-05-28 17:21:54
990009,23,2019-05-29 14:30:00
990009,7,2019-05-29 16:14:22
990009,25,2019-05-30 19:28:01
990009,6,2019-05-31 19:05:24
990009,23,2019-06-03 14:07:59
990009,7,2019-06-04 10:32:16
990009,16,2019-06-05 12:51:54
990010,21,2019-05-21 09:58:19
990010,25,2019-05-21 12:47:10
990010,10,2019-05-21 12:57:36
990010,9,2019-05-21 21:10:10
990010,11,2019-05-22 17:33:36
990010,6,2019-05-27 11:49:13
990010,23,2019-05-28 12:29:53
990010,7,2019-05-28 15:50:34
990010,25,2019-05-30 12:41:03
990010,6,2019-05-30 17:36:37
990010,23,2019-06-03 11:23:31
990010,7,2019-06-03 16:37:21
990010,12,2019-06-10 21:10:10
990010,16,2019-06-14 08:33:46
990011,21,2019-05-21 12:16:25
990011,9,2019-05-21 12:55:17
990011,25,2019-05-22 14:18:39
990011,25,2019-05-23 10:45:43
990011,6,2019-05-23 11:00:25
990011,25,2019-05-23 13:39:57
990011,23,2019-05-23 14:22:59
990011,16,2019-05-23 14:24:31
990011,24,2019-05-23 14:48:41
990011,7,2019-05-23 19:14:00
990011,25,2019-05-28 16:41:43
990011,6,2019-05-28 17:21:54
990011,23,2019-05-29 14:30:00
990011,7,2019-05-29 16:14:22
990012,21,2019-05-21 13:52:38
990012,9,2019-05-21 16:44:36
990012,10,2019-05-21 19:19:13
990012,25,2019-05-22 11:00:23
990012,25,2019-05-22 11:36:46
990012,25,2019-05-22 11:47:12
990012,10,2019-05-23 10:19:26
990012,11,2019-05-23 10:27:00
990012,6,2019-05-23 11:00:25
990012,23,2019-05-23 14:22:59
990012,24,2019-05-23 14:48:41
990012,25,2019-05-23 17:26:26
990012,7,2019-05-23 19:14:00
990012,11,2019-05-27 09:35:00
990012,25,2019-05-28 12:19:52
990012,25,2019-05-28 17:21:54
990012,6,2019-05-28 17:21:54
990012,23,2019-05-29 14:30:00
990012,7,2019-05-29 16:14:22
990012,25,2019-06-03 19:30:05
990012,6,2019-06-05 09:43:33
990012,23,2019-06-05 15:08:57
990012,24,2019-06-05 16:25:21
990012,7,2019-06-05 21:36:36
990012,16,2019-06-06 17:01:11
990013,21,2019-05-21 16:05:03
990013,25,2019-05-21 17:15:32
990013,9,2019-05-21 21:40:22
990013,10,2019-05-22 09:29:44
990013,10,2019-05-22 09:31:49
990013,25,2019-05-22 09:37:12
990013,25,2019-05-22 16:07:56
990013,6,2019-05-23 11:00:25
990013,11,2019-05-23 12:09:19
990013,23,2019-05-23 14:22:59
990013,24,2019-05-23 14:48:41
990013,7,2019-05-23 19:14:00
990013,11,2019-05-24 12:01:37
990013,25,2019-05-27 14:01:57
990013,6,2019-05-28 17:21:54
990013,16,2019-05-29 11:06:49
990013,23,2019-05-29 14:30:00
990013,7,2019-05-29 16:14:22
990013,25,2019-06-17 14:24:54
990013,6,2019-06-17 15:48:31
990013,23,2019-06-18 13:41:56
990013,7,2019-06-18 14:55:46
990013,25,2019-06-28 17:45:57
990013,6,2019-07-01 14:59:43
990013,23,2019-07-02 09:22:35
990013,7,2019-07-03 16:37:19
990014,21,2019-05-21 17:29:53
990014,10,2019-05-22 10:22:31
990014,25,2019-05-22 10:52:34
990014,25,2019-05-22 11:13:31
990014,11,2019-05-22 14:29:53
990014,25,2019-05-22 17:38:56
990014,9,2019-05-23 09:09:23
990014,25,2019-05-23 12:53:00
990014,16,2019-05-24 09:37:42
990014,6,2019-05-27 16:26:44
990014,23,2019-05-27 18:57:39
990014,7,2019-05-28 17:52:39
990014,25,2019-06-05 09:17:23
990014,6,2019-06-05 16:31:53
990014,23,2019-06-06 12:40:22
990014,7,2019-06-07 10:46:15
990015,21,2019-05-21 19:19:34
990015,25,2019-05-21 20:34:29
990015,9,2019-05-22 12:40:14
990015,25,2019-05-22 16:54:39
990015,25,2019-05-23 10:53:08
990015,10,2019-05-23 11:08:24
990015,11,2019-05-23 12:33:06
990015,25,2019-05-24 15:49:44
990015,6,2019-05-27 15:11:01
990015,25,2019-05-28 09:49:33
990015,23,2019-05-28 11:03:28
