CaseID,ActivityID,timestamp,related_objects
990001,15,2019-05-20 09:07:47,880003:880002:880001:880004
990001,11,2019-05-20 11:13:54,880003:880002:880001:880004
990001,23,2019-05-20 11:20:13,880002
990001,8,2019-05-20 13:54:37,880004
990001,19,2019-05-21 10:03:49,880004
990001,8,2019-05-23 10:40:50,880001
990001,23,2019-05-23 11:00:25,880003
990001,24,2019-05-23 11:27:55,880003:880002:880001:880004
990001,16,2019-05-23 17:26:26,880003:880098:880101:880099:880002
990001,1,2019-05-23 17:43:12,880003:880098:880101:880099:880002
990001,25,2019-05-24 15:54:44,880003:880098:880101:880099:880002
990001,19,2019-05-27 17:54:52,880001
990001,23,2019-06-04 15:20:53,880001
990001,16,2019-06-06 16:20:03,880390:880391:880396:880263:880264:880378:880392:880262:880394:880376:880379:880286:880377:880393:880001
990001,1,2019-06-07 10:00:10,880390:880391:880396:880263:880264:880378:880392:880262:880394:880376:880379:880286:880377:880393:880001
990001,25,2019-06-07 14:04:28,880390:880391:880396:880263:880264:880378:880392:880262:880394:880376:880379:880286:880377:880393:880001
990001,23,2019-06-20 14:58:13,880004
990001,16,2019-06-25 11:30:01,880395:880004
990001,1,2019-06-25 11:55:45,880395:880004
990001,25,2019-06-26 09:18:52,880395:880004
990002,15,2019-05-20 10:35:21,880005:880006:880007:880008
990002,23,2019-05-20 10:38:17,880006
990002,23,2019-05-20 17:08:25,880008
990002,23,2019-05-20 18:15:00,880007
990002,11,2019-05-21 12:19:16,880005:880006:880007:880008
990002,23,2019-05-21 12:35:03,880005
990002,24,2019-05-22 14:47:40,880005:880006:880007:880008
990002,16,2019-05-23 11:00:25,880040:880047:880031:880006:880032:880030:880005:880033:880041:880038:880043:880049:880051:880008:880048:880007
990002,1,2019-05-23 14:22:59,880040:880047:880031:880006:880032:880030:880005:880033:880041:880038:880043:880049:880051:880008:880048:880007
990002,6,2019-05-23 14:48:41,880040:880047:880031:880006:880032:880030:880005:880033:880041:880038:880043:880049:880051:880008:880048:880007
990002,25,2019-05-23 19:14:00,880040:880047:880031:880006:880032:880030:880005:880033:880041:880038:880043:880049:880051:880008:880048:880007
990003,15,2019-05-20 12:30:30,880012:880009:880011:880010
990003,11,2019-05-20 12:34:16,880012:880009:880011:880010
990003,8,2019-05-20 15:19:49,880009
990003,23,2019-05-20 17:51:15,880011
990003,23,2019-05-21 09:43:01,880010
990003,24,2019-05-21 10:41:07,880012:880009:880011:880010
990003,23,2019-05-21 14:58:29,880012
990003,19,2019-05-22 16:52:23,880009
990003,16,2019-05-24 15:49:44,880078:880025:880024:880028:880077:880023:880026:880113:880011:880012:880010
990003,23,2019-05-24 17:26:40,880009
990003,1,2019-05-27 09:50:01,880078:880025:880024:880028:880077:880023:880026:880113:880011:880012:880010
990003,25,2019-05-27 12:39:25,880078:880025:880024:880028:880077:880023:880026:880113:880011:880012:880010
990003,16,2019-05-29 16:14:37,880112:880027:880009:880114
990003,1,2019-05-30 10:19:45,880112:880027:880009:880114
990003,25,2019-05-31 11:00:07,880112:880027:880009:880114
990004,15,2019-05-20 14:20:47,880014:880013
990004,23,2019-05-20 16:56:02,880014
990004,11,2019-05-20 18:36:37,880014:880013
990004,23,2019-05-21 12:39:01,880013
