CaseID,ActivityID,timestamp,related_objects,weight,price
990001,5,2019-05-20 09:07:47,880003:880002:880004:880001,3.52,524.96
990001,17,2019-05-20 11:13:54,880003:880002:880004:880001,3.52,524.96
990001,4,2019-05-20 11:20:13,880002,0.28,89.99
990001,21,2019-05-20 13:54:37,880004,1.48,199.99
990001,15,2019-05-21 10:03:49,880004,1.48,199.99
990001,21,2019-05-23 10:40:50,880001,0.98,129.99
990001,4,2019-05-23 11:00:25,880003,0.78,99.99
990001,22,2019-05-23 11:27:55,880003:880002:880004:880001,3.52,524.96
990001,1,2019-05-23 17:26:26,880101:880099:880098:880002:880003,4.273,3688.97
990001,6,2019-05-23 17:43:12,880101:880099:880098:880002:880003,4.273,3688.97
990001,8,2019-05-24 15:54:44,880101:880099:880098:880002:880003,4.273,3688.97
990001,15,2019-05-27 17:54:52,880001,0.98,129.99
990001,4,2019-06-04 15:20:53,880001,0.98,129.99
990001,1,2019-06-06 16:20:03,880394:880376:880262:880393:880391:880377:880378:880390:880396:880286:880264:880392:880001:880379:880263,11.283,12164.96
990001,6,2019-06-07 10:00:10,880394:880376:880262:880393:880391:880377:880378:880390:880396:880286:880264:880392:880001:880379:880263,11.283,12164.96
990001,8,2019-06-07 14:04:28,880394:880376:880262:880393:880391:880377:880378:880390:880396:880286:880264:880392:880001:880379:880263,11.283,12164.96
990001,4,2019-06-20 14:58:13,880004,1.48,199.99
990001,1,2019-06-25 11:30:01,880004:880395,2.26,299.98
990001,6,2019-06-25 11:55:45,880004:880395,2.26,299.98
990001,8,2019-06-26 09:18:52,880004:880395,2.26,299.98
990002,5,2019-05-20 10:35:21,880008:880005:880006:880007,2.656,3255.99
990002,4,2019-05-20 10:38:17,880006,0.483,79.99
990002,4,2019-05-20 17:08:25,880008,1.25,2200.0
990002,4,2019-05-20 18:15:00,880007,0.44,476.0
990002,17,2019-05-21 12:19:16,880008:880005:880006:880007,2.656,3255.99
990002,4,2019-05-21 12:35:03,880005,0.483,495.0
990002,22,2019-05-22 14:47:40,880008:880005:880006:880007,2.656,3255.99
990002,1,2019-05-23 11:00:25,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
990002,6,2019-05-23 14:22:59,880032:880043:880008:880007:880038:880040:880006:880033:880047:880049:880041:880031:880051:880048:880005:880030,7.211,8169.95
