CaseID,ActivityID,timestamp,related_items
990001,2,2019-05-20 09:07:47,880002:880001:880004:880003
990001,1,2019-05-20 11:13:54,880002:880001:880004:880003
990001,12,2019-05-23 11:27:55,880002:880001:880004:880003
990001,4,2019-06-26 09:18:52,880395:880004
990002,2,2019-05-20 10:35:21,880005:880008:880007:880006
990002,1,2019-05-21 12:19:16,880005:880008:880007:880006
990002,12,2019-05-22 14:47:40,880005:880008:880007:880006
990002,4,2019-05-23 19:14:00,880005:880030:880038:880033:880007:880031:880048:880040:880006:880041:880043:880051:880049:880008:880047:880032
990003,2,2019-05-20 12:30:30,880009:880011:880010:880012
990003,1,2019-05-20 12:34:16,880009:880011:880010:880012
990003,12,2019-05-21 10:41:07,880009:880011:880010:880012
990003,4,2019-05-31 11:00:07,880112:880009:880114:880027
990004,2,2019-05-20 14:20:47,880013:880014
990004,1,2019-05-20 18:36:37,880013:880014
990004,3,2019-06-09 18:36:37,880013:880014
990004,12,2019-06-13 10:57:55,880013:880014
990005,2,2019-05-20 16:01:22,880015:880016
990005,1,2019-05-21 10:34:23,880015:880016
990005,3,2019-06-10 10:34:23,880015:880016
990005,3,2019-06-30 10:34:23,880015:880016
990005,12,2019-07-03 17:07:23,880015:880016
990006,2,2019-05-20 17:22:31,880018:880017:880019
990006,1,2019-05-21 14:55:05,880018:880017:880019
990006,12,2019-05-31 21:05:52,880018:880017:880019
990007,2,2019-05-20 19:04:49,880020:880022:880021
990007,1,2019-05-21 14:33:48,880020:880022:880021
990007,3,2019-06-10 14:33:48,880020:880022:880021
990007,12,2019-06-14 09:57:38,880020:880022:880021
990008,2,2019-05-20 21:49:13,880023:880024:880028:880026:880025:880027
990008,1,2019-05-22 10:34:00,880023:880024:880028:880026:880025:880027
990008,12,2019-05-22 13:31:24,880023:880024:880028:880026:880025:880027
990008,4,2019-05-31 11:00:07,880112:880009:880114:880027
990009,2,2019-05-21 07:13:12,880030:880033:880031:880029:880034:880032
990009,1,2019-05-21 13:40:12,880030:880033:880031:880029:880034:880032
990009,12,2019-06-05 12:51:54,880030:880033:880031:880029:880034:880032
990010,2,2019-05-21 09:58:19,880036:880035
990010,1,2019-05-21 21:10:10,880036:880035
990010,3,2019-06-10 21:10:10,880036:880035
990010,12,2019-06-14 08:33:46,880036:880035
990011,2,2019-05-21 12:16:25,880039:880037:880038:880040
990011,1,2019-05-21 12:55:17,880039:880037:880038:880040
990011,12,2019-05-23 14:24:31,880039:880037:880038:880040
990011,4,2019-05-29 16:14:22,880046:880039:880143:880042:880034:880139:880052:880179:880180:880037:880044:880140
990012,2,2019-05-21 13:52:38,880046:880042:880043:880041:880045:880047:880044
990012,1,2019-05-21 16:44:36,880046:880042:880043:880041:880045:880047:880044
990012,12,2019-06-06 17:01:11,880046:880042:880043:880041:880045:880047:880044
990013,2,2019-05-21 16:05:03,880050:880048:880051:880052:880049:880053
990013,1,2019-05-21 21:40:22,880050:880048:880051:880052:880049:880053
990013,12,2019-05-29 11:06:49,880050:880048:880051:880052:880049:880053
990013,4,2019-07-03 16:37:19,880971:880655:880819:880800:880053
990014,2,2019-05-21 17:29:53,880058:880057:880055:880056:880054
990014,1,2019-05-23 09:09:23,880058:880057:880055:880056:880054
990014,12,2019-05-24 09:37:42,880058:880057:880055:880056:880054
990014,4,2019-06-07 10:46:15,880241:880243:880055:880358
990015,2,2019-05-21 19:19:34,880059:880062:880064:880061:880060:880063
990015,1,2019-05-22 12:40:14,880059:880062:880064:880061:880060:880063
990015,12,2019-05-30 09:05:10,880059:880062:880064:880061:880060:880063
990015,4,2019-05-31 12:59:10,880174:880170:880172:880061:880168:880173:880060
990016,2,2019-05-21 22:18:43,880067:880068:880065:880066
990016,1,2019-05-23 11:58:56,880067:880068:880065:880066
990016,12,2019-05-28 09:13:13,880067:880068:880065:880066
990016,4,2019-05-31 16:18:19,880186:880218:880232:880219:880066:880187:880188:880220:880233:880229:880190
990017,2,2019-05-22 08:29:00,880070:880069:880073:880072:880071
990017,1,2019-05-22 10:21:25,880070:880069:880073:880072:880071
990017,12,2019-05-29 10:35:55,880070:880069:880073:880072:880071
990018,2,2019-05-22 10:33:18,880075:880076:880074
990018,1,2019-05-22 14:44:07,880075:880076:880074
990018,12,2019-05-23 15:19:51,880075:880076:880074
990018,4,2019-05-28 17:52:39,880058:880110:880075:880146:880076:880057:880056:880054:880074
990019,2,2019-05-22 12:26:23,880078:880077
990019,1,2019-05-22 15:42:38,880078:880077
990019,3,2019-06-11 15:42:38,880078:880077
990019,12,2019-06-13 10:15:04,880078:880077
990020,2,2019-05-22 14:12:34,880081:880079:880080
990020,1,2019-05-23 13:04:43,880081:880079:880080
990020,12,2019-05-31 14:55:51,880081:880079:880080
990021,2,2019-05-22 15:44:55,880086:880087:880082:880083:880084:880085
990021,1,2019-05-23 22:00:00,880086:880087:880082:880083:880084:880085
990021,12,2019-05-27 12:19:36,880086:880087:880082:880083:880084:880085
990021,4,2019-06-06 15:45:51,880322:880086:880371:880368:880370:880369:880318:880320:880177
990022,2,2019-05-22 17:49:37,880089:880088:880091:880090
990022,1,2019-05-23 11:23:05,880089:880088:880091:880090
990022,12,2019-06-03 11:04:21,880089:880088:880091:880090
990023,2,2019-05-22 20:08:26,880093:880092
990023,1,2019-05-24 14:55:25,880093:880092
990023,12,2019-05-27 09:22:27,880093:880092
990023,4,2019-06-05 09:41:01,880251:880250:880093:880248:880249
990024,2,2019-05-22 22:56:27,880095:880096:880094
990024,1,2019-05-23 12:55:00,880095:880096:880094
990024,12,2019-05-29 19:51:41,880095:880096:880094
990025,2,2019-05-23 09:44:29,880099:880102:880100:880101:880098:880097
990025,1,2019-05-24 17:01:23,880099:880102:880100:880101:880098:880097
990025,12,2019-05-31 15:35:49,880099:880102:880100:880101:880098:880097
990025,4,2019-06-05 15:51:44,880102:880287:880261:880288
990026,2,2019-05-23 11:48:45,880107:880109:880106:880104:880105:880103:880108
990026,1,2019-05-24 16:32:09,880107:880109:880106:880104:880105:880103:880108
990026,3,2019-06-13 16:32:09,880107:880109:880106:880104:880105:880103:880108
990026,12,2019-06-19 10:00:32,880107:880109:880106:880104:880105:880103:880108
990027,2,2019-05-23 13:57:18,880111:880110
990027,1,2019-05-23 16:27:55,880111:880110
990027,3,2019-06-12 16:27:55,880111:880110
990027,12,2019-06-28 09:34:47,880111:880110
990028,2,2019-05-23 16:14:23,880112:880113:880114
990028,1,2019-05-24 08:27:33,880112:880113:880114
990028,12,2019-06-05 09:31:56,880112:880113:880114
990029,2,2019-05-23 17:48:34,880115:880117:880116
