CaseID,ActivityID,timestamp,related_items
660001,12,2019-05-23 11:00:25,880038:880005:880031:880033:880007:880040:880041:880047:880008:880043:880051:880032:880049:880006:880048:880030
660001,21,2019-05-23 14:22:59,880038:880005:880031:880033:880007:880040:880041:880047:880008:880043:880051:880032:880049:880006:880048:880030
660001,1,2019-05-23 14:48:41,880038:880005:880031:880033:880007:880040:880041:880047:880008:880043:880051:880032:880049:880006:880048:880030
660001,14,2019-05-23 19:14:00,880038:880005:880031:880033:880007:880040:880041:880047:880008:880043:880051:880032:880049:880006:880048:880030
660002,12,2019-05-23 17:26:26,880099:880098:880101:880002:880003
660002,21,2019-05-23 17:43:12,880099:880098:880101:880002:880003
660002,14,2019-05-24 15:54:44,880099:880098:880101:880002:880003
660003,12,2019-05-24 10:49:32,880022:880071:880072:880014:880020:880069:880070:880109:880013:880106:880073:880103
660003,21,2019-05-27 10:40:13,880022:880071:880072:880014:880020:880069:880070:880109:880013:880106:880073:880103
660003,1,2019-05-27 14:56:21,880022:880071:880072:880014:880020:880069:880070:880109:880013:880106:880073:880103
660003,14,2019-05-28 12:42:06,880022:880071:880072:880014:880020:880069:880070:880109:880013:880106:880073:880103
660004,12,2019-05-24 15:49:44,880025:880077:880023:880012:880026:880078:880024:880011:880028:880113:880010
660004,21,2019-05-27 09:50:01,880025:880077:880023:880012:880026:880078:880024:880011:880028:880113:880010
660004,14,2019-05-27 12:39:25,880025:880077:880023:880012:880026:880078:880024:880011:880028:880113:880010
660005,12,2019-05-25 01:00:00,880019:880018:880068:880065:880067:880017
660005,21,2019-05-27 20:29:32,880019:880018:880068:880065:880067:880017
660005,14,2019-05-29 09:50:36,880019:880018:880068:880065:880067:880017
660006,12,2019-05-27 11:49:13,880128:880121:880129:880120:880122:880118:880036
660006,21,2019-05-28 12:29:53,880128:880121:880129:880120:880122:880118:880036
660006,14,2019-05-28 15:50:34,880128:880121:880129:880120:880122:880118:880036
660007,12,2019-05-27 15:11:01,880062:880059:880063:880064
660007,21,2019-05-28 11:03:28,880062:880059:880063:880064
660007,14,2019-05-28 20:08:20,880062:880059:880063:880064
660008,12,2019-05-27 16:26:44,880075:880110:880146:880076:880057:880058:880074:880054:880056
660008,21,2019-05-27 18:57:39,880075:880110:880146:880076:880057:880058:880074:880054:880056
660008,14,2019-05-28 17:52:39,880075:880110:880146:880076:880057:880058:880074:880054:880056
660009,12,2019-05-28 09:49:33,880161:880162:880016:880158:880015
660009,21,2019-05-28 16:20:29,880161:880162:880016:880158:880015
660009,14,2019-05-29 12:01:39,880161:880162:880016:880158:880015
660010,12,2019-05-28 11:12:33,880148:880092:880091:880088:880123:880090:880089
660010,21,2019-05-28 15:57:57,880148:880092:880091:880088:880123:880090:880089
660010,14,2019-05-29 09:08:16,880148:880092:880091:880088:880123:880090:880089
660011,12,2019-05-28 14:22:11,880095:880094:880154:880096:880150:880156
660011,21,2019-05-28 16:01:33,880095:880094:880154:880096:880150:880156
660011,14,2019-05-29 09:58:19,880095:880094:880154:880096:880150:880156
660012,12,2019-05-28 16:07:01,880080:880079:880202:880125:880081
660012,21,2019-05-29 16:16:17,880080:880079:880202:880125:880081
660012,14,2019-05-29 20:01:33,880080:880079:880202:880125:880081
660013,12,2019-05-28 17:21:54,880034:880042:880039:880044:880046:880179:880180:880143:880139:880140:880052:880037
660013,21,2019-05-29 14:30:00,880034:880042:880039:880044:880046:880179:880180:880143:880139:880140:880052:880037
